order_id,review_score,full_review_text,clean_review
e481f51cbdc54678b7cc49136f2d6af7,4.0,"Não testei o produto ainda, mas ele veio correto e em boas condições. Apenas a caixa que veio bem amassada e danificada, o que ficará chato, pois se trata de um presente.",não testei o produto ainda mas ele veio correto e em boas condições apenas a caixa que veio bem amassada e danificada o que ficará chato pois se trata de um presente
53cdb2fc8bc7dce0b6741e2150273451,4.0,Muito boa a loja Muito bom o produto.,muito bom o produto
949d5b44dbf5de918fe9c16f97b45f8a,5.0,O produto foi exatamente o que eu esperava e estava descrito no site e chegou bem antes da data prevista.,o produto foi exatamente o que eu esperava e estava descrito no site e chegou bem antes da data prevista
136cce7faa42fdb2cefd53fdc79a6098,2.0,fiquei triste por n ter me atendido.,fiquei triste por n ter me atendido
e6ce16cb79ec1d90b1da9085a6118aeb,1.0,Aguardando retorno da loja,aguardando retorno da loja
e6ce16cb79ec1d90b1da9085a6118aeb,1.0,Aguardando retorno da loja,aguardando retorno da loja
432aaf21d85167c2c86ec9448c4e42cc,4.0,Gostei do produto,gostei do produto
dcb36b511fcac050b97cd5c05de84dc3,5.0,Nota dez Obrigado pela atenção. Lojas lannister perfeito em tudo.,obrigado pela atenção lojas lannister perfeito em tudo
f3e7c359154d965827355f39d6b1fdac,5.0,Ótimo  Sempre vou comprar aqui pois é a melhor parabéns,sempre vou comprar aqui pois é a melhor parabéns 
acce194856392f074dbf9dada14d8d82,1.0,"NÃO RECOMENDO!!!!  Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj",até o momento não recebi o produto protetor de colchão para berço  algodão impermeável já fiz a reclamação desde o dia 1806 e ainda não obtive retorno irei cancelar o pedido e estornar a compra hj
acce194856392f074dbf9dada14d8d82,1.0,"NÃO RECOMENDO!!!!  Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj",até o momento não recebi o produto protetor de colchão para berço  algodão impermeável já fiz a reclamação desde o dia 1806 e ainda não obtive retorno irei cancelar o pedido e estornar a compra hj
dd78f560c270f1909639c11b925620ea,5.0,"Lindos. 
Acabamento incrivel, muiro macios e super em conta.","lindos 
acabamento incrivel muiro macios e super em conta"
f70a0aff17df5a6cdd9a7196128bd354,2.0,O produto veio faltando a base para auto e como eu fiz o pedido por telefone justamente para confirmar se a base demonstrada pela foto acompanhava o produto e tbm constava na descrição do item.,o produto veio faltando a base para auto e como eu fiz o pedido por telefone justamente para confirmar se a base demonstrada pela foto acompanhava o produto e tbm constava na descrição do item
1790eea0b567cf50911c057cf20f90f9,1.0,"Enganadores Foi entregue um produto divergente do que eu havia comprado, além de não vir com todos os acessórios constantes na descrição do anuncio. Solicito providências urgentes.",foi entregue um produto divergente do que eu havia comprado além de não vir com todos os acessórios constantes na descrição do anuncio solicito providências urgentes
d887b52c6516beb39e8cd44a5f8b60f7,5.0,Ficou tudo ok só pensei q fosse maior mas.ta bom,ficou tudo ok só pensei q fosse maior masta bom
8563039e855156e48fccee4d611a3196,5.0,"há muito tempo efetuo compras atraves desta loja, nunca tive problemas. sempre entrega antes da data.",há muito tempo efetuo compras atraves desta loja nunca tive problemas sempre entrega antes da data
60550084e6b4c0cb89a87df1f3e5ebd9,4.0,bom pode comprar,bom pode comprar
434d158e96bdd6972ad6e6d73ddcfd22,5.0,"Produto novo e original Produto veio bem lacrado, todo original.",produto veio bem lacrado todo original
1e7aff52cdbb2451ace09d0f848c3699,5.0,Quero o cartão de crédito das Lojas lannister! Minha satisfação é Plena!,quero o cartão de crédito das lojas lannister minha satisfação é plena 
6ebaec694d7025e2ad4a05dba887c032,1.0,A cuba veio quebrada. Como efetuo barroca?,a cuba veio quebrada como efetuo barroca
5820a1100976432c7968a52da59e9364,5.0,Excelente Prazo de entrega excelente e produto cuidadosamente embalado! Recomendo!,prazo de entrega excelente e produto cuidadosamente embalado recomendo
9faeb9b2746b9d7526aef5acb08e2aa0,1.0,"Recebi apenas 1 unidade  Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal. Estou tentando contato com a loja a 4 dias. Informam que vão me mandar por email o contato do fornece",recebi apenas 1 unidade solicitada deveriam ser 2 inclusive foi cobrado e consta na nota fiscal estou tentando contato com a loja a 4 dias informam que vão me mandar por email o contato do fornece
9faeb9b2746b9d7526aef5acb08e2aa0,1.0,"Recebi apenas 1 unidade  Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal. Estou tentando contato com a loja a 4 dias. Informam que vão me mandar por email o contato do fornece",recebi apenas 1 unidade solicitada deveriam ser 2 inclusive foi cobrado e consta na nota fiscal estou tentando contato com a loja a 4 dias informam que vão me mandar por email o contato do fornece
641fb0752bf5b5940c376b3a8bb9dc52,4.0,"Inicialmente, pedi o cancelamento do pedido devido a falta de atualização com o produto, hoje sei que é erro do APLICATIVO e não do vendedor.",inicialmente pedi o cancelamento do pedido devido a falta de atualização com o produto hoje sei que é erro do aplicativo e não do vendedor
e425680f760cbc130be3e53a9773c584,5.0,Potente e grande.,potente e grande 
40c5e18f7d112b59b3e5113a59a905b3,5.0,super recomento Entrega antes da data marcada. Excelente,entrega antes da data marcada excelente
66e4624ae69e7dc89bd50222b59f581f,1.0,"Pedir 2 capinhas,estou pagando as duas e só veio uma.Entao não estou nada satisfeita e espero que seja reparado esse erro.",pedir 2 capinhasestou pagando as duas e só veio umaentao não estou nada satisfeita e espero que seja reparado esse erro
66e4624ae69e7dc89bd50222b59f581f,1.0,"Pedir 2 capinhas,estou pagando as duas e só veio uma.Entao não estou nada satisfeita e espero que seja reparado esse erro.",pedir 2 capinhasestou pagando as duas e só veio umaentao não estou nada satisfeita e espero que seja reparado esse erro
a685d016c8a26f71a0bb67821070e398,1.0,Não recebi,não recebi
688052146432ef8253587b930b01a06d,4.0,"Produto entregue em parte Somente a Mala Pequena Bordo Avião 360º Viagem Seanite Preta 12771 foi entregue.
O Auto Transformador Automático Bivolt 5000va Até 12.000 Btus ainda não foi entregue.","somente a mala pequena bordo avião 360º viagem seanite preta 12771 foi entregue
o auto transformador automático bivolt 5000va até 12000 btus ainda não foi entregue"
688052146432ef8253587b930b01a06d,4.0,"Produto entregue em parte Somente a Mala Pequena Bordo Avião 360º Viagem Seanite Preta 12771 foi entregue.
O Auto Transformador Automático Bivolt 5000va Até 12.000 Btus ainda não foi entregue.","somente a mala pequena bordo avião 360º viagem seanite preta 12771 foi entregue
o auto transformador automático bivolt 5000va até 12000 btus ainda não foi entregue"
f271576bed568e896f99eb710cd3a6f8,3.0,"Pensei que a cinta seria mais larga.
É muito estreita para cargas pesadas","pensei que a cinta seria mais larga
é muito estreita para cargas pesadas"
f271576bed568e896f99eb710cd3a6f8,3.0,"Pensei que a cinta seria mais larga.
É muito estreita para cargas pesadas","pensei que a cinta seria mais larga
é muito estreita para cargas pesadas"
686541986ecfb7d9296eb67719973bf0,4.0,Agora é testar para avaliar se é de qualidade. Mas até agora tudo certo.,agora é testar para avaliar se é de qualidade mas até agora tudo certo
fdf128b3630c21adc9ca4fb8a51b68ec,3.0,Produto nao funciona Passei e-mail solicitando suporte para fazer o produto funciona,passei email solicitando suporte para fazer o produto funciona
6abaad69b8b349c3a529b4b91ce18e46,4.0,O produto é uma ótima decoração para deixar o ambiente lindo.,o produto é uma ótima decoração para deixar o ambiente lindo 
974c1993ab8024d3ed16229183c2308d,5.0,produto otimo, produto otimo
634e8f4c0f6744a626f77f39770ac6aa,1.0,Muito bom o produto e preço cobrado!,muito bom o produto e preço cobrado
b8801cccd8068de30112e4f49903d74a,3.0,Tudo em ordem.,tudo em ordem
0e782c3705510e717d28907746cbda82,4.0,Ótimo  O produto veio em perfeitas condições e chegou antes do prazo. Parabéns pelo atendimento.,o produto veio em perfeitas condições e chegou antes do prazo parabéns pelo atendimento 
86f21bf63784876b9fd6d35f46581d72,1.0,"Regular Os outros produtos, a loja ofereceu mas não cumpriu com a entrega.",os outros produtos a loja ofereceu mas não cumpriu com a entrega
f169bd689fb8b32ccd62df9050aebc0b,5.0,"Excelente Tudo conforme o combinado!! Entrega antes do prazo, ficamos felizes e satisfeitos! Parabéns!","tudo conforme o combinado entrega antes do prazo ficamos felizes e satisfeitos parabéns
"
41bb5cee06dbf170878a9ef93ac7e7f5,5.0,super recomendo Recebi 22 dias antes do prazo,recebi 22 dias antes do prazo
e3447938231fb6ba2fee0231b51eca59,5.0,"Produto muito bonito, gos Produto muito bonito, chegou no prazo correto parece um Trofeu, qualidade ótimo para presente",produto muito bonito chegou no prazo correto parece um trofeu qualidade ótimo para presente
a5474c0071dd5d1074e12d417078bbd0,5.0,Ótimo Chegou antes do prazo e o produto é exatamente pedido o que eu queria,chegou antes do prazo e o produto é exatamente pedido o que eu queria
0760a852e4e9d89eb77bf631eaaf1c84,3.0,"bolo fake Gostei do produto, porem fiquei preocupada não chegasse a tempo pois não foi atualizado o status da compra chegou no ultimo dia do prazo.",gostei do produto porem fiquei preocupada não chegasse a tempo pois não foi atualizado o status da compra chegou no ultimo dia do prazo
af5b0604e113e1526593d505a26ef39d,1.0,"Boa noite, não recebi o escorredor de louça, Continuo no aguardo",boa noite não recebi o escorredor de louça continuo no aguardo
80d817467dc3d0a4bb5ab8986c962b1f,5.0,Rápidos na entrega  Recebi antes do prazo,recebi antes do prazo 
80d817467dc3d0a4bb5ab8986c962b1f,5.0,Rápidos na entrega  Recebi antes do prazo,recebi antes do prazo 
c75acba615d2db29345327974641467d,5.0,Ótimo Muito bom,"muito bom
"
210e60465099814a1d2c7635e4065153,4.0,Bom Espero que seja sempre assim rápido e produto perfeito.,espero que seja sempre assim rápido e produto perfeito
01a75ac3dd000b7628a684be97c29234,1.0,COMO VOU AVALIAR UM PRODUTO QUE NÃO RECEBI,como vou avaliar um produto que não recebi
0c6b011f8a4f87010c23995f5807d152,5.0,"Otimo Serviços todos ótimos, porém achei só o fecho um pouco frágil!!recomendo!",serviços todos ótimos porém achei só o fecho um pouco frágilrecomendo 
ee0c5c649e17808bc4a363d3a80ebf85,4.0,Recomendado,recomendado
ee0c5c649e17808bc4a363d3a80ebf85,4.0,Recomendado,recomendado
f2fa3795760c35b8c05fa8e2f09d5143,3.0,Só foi entregue 1 dos 3 produtos q comprei,só foi entregue 1 dos 3 produtos q comprei 
f2fa3795760c35b8c05fa8e2f09d5143,3.0,Só foi entregue 1 dos 3 produtos q comprei,só foi entregue 1 dos 3 produtos q comprei 
f2fa3795760c35b8c05fa8e2f09d5143,3.0,Só foi entregue 1 dos 3 produtos q comprei,só foi entregue 1 dos 3 produtos q comprei 
3923e3ade70348985bd2ca389905cf19,4.0,"O suporte veio com um parafuso espanado... Como eu precisava urgente, não devolvi pra trocar e meu primo soldou... Mas fora isso,o suporte é ótimo!!!",o suporte veio com um parafuso espanado como eu precisava urgente não devolvi pra trocar e meu primo soldou mas fora issoo suporte é ótimo
e37797aedc7cd4ef82278fbc169eecaf,5.0,Muito bom entregou até antes do dia 😆😆😆😆😆😆😆😆,muito bom entregou até antes do dia 
35660aec0cc42b6257e24281ee0e6255,1.0,mais ou menos o produto veio faltando uma peca,mais ou menos o produto veio faltando uma peca
b01875821b8dcb6abc61776f0f971bce,4.0,"Acho que deveria enviar o produtos juntos, já que na nota fiscal estavamos juntas e são as mesmas luminarias e não enviar quase uma semana depois de diferenca.",acho que deveria enviar o produtos juntos já que na nota fiscal estavamos juntas e são as mesmas luminarias e não enviar quase uma semana depois de diferenca
b01875821b8dcb6abc61776f0f971bce,4.0,"Acho que deveria enviar o produtos juntos, já que na nota fiscal estavamos juntas e são as mesmas luminarias e não enviar quase uma semana depois de diferenca.",acho que deveria enviar o produtos juntos já que na nota fiscal estavamos juntas e são as mesmas luminarias e não enviar quase uma semana depois de diferenca
5164933efe0cd14f31424b9badf81f19,1.0,Não gostei do produto  Produto não corresponde às expectativas,produto não corresponde às expectativas 
01855f880aae9a984c7c33b26fcf2e02,5.0,"Chegou antes do prazo , super recomendo",chegou antes do prazo  super recomendo 
01855f880aae9a984c7c33b26fcf2e02,5.0,"Chegou antes do prazo , super recomendo",chegou antes do prazo  super recomendo 
741fd1b80f015f170a7f458cf86769b8,1.0,Nao gostei do produto pois veio com detalhes no acabamento e com sinais que ja foram uzados,nao gostei do produto pois veio com detalhes no acabamento e com sinais que ja foram uzados
4b87488fb6269f8321508923b95da4d6,5.0,eu adorei... e é uma gracinha... estava doida p chegar..é um produto de otima qualidade,eu adorei e é uma gracinha estava doida p chegaré um produto de otima qualidade
9344ccd01ff5fa7ec2aef0ee7e1c49c3,5.0,Superou minha expectativa!,superou minha expectativa
f4471dae8c482f51aa1826cd9f5d4433,1.0,Péssima compra  Recebi um produto velho,recebi um produto velho 
